headline;source;section;published;abstract;keywords;word_count
Amazon Powers Ahead With Robust Profit;The New York Times;Technology;2020-01-30;The internet giant posted increases in revenue and profit after shoppers flocked to it during the holiday season.;['Amazon.com Inc', 'Company Reports', 'E-Commerce', 'Shopping and Retail', 'Computers and the Internet', 'Cloud Computing'];749
Unions Push F.T.C. to Study if Amazon Warps the Economy;The New York Times;Technology;2020-02-27;So far, the Everything Store has dodged some of the scrutiny dogging Google and Facebook.;['Organized Labor', 'Amazon.com Inc', 'E-Commerce', 'Delivery Services', 'Antitrust Laws and Competition Issues', 'Wages and Salaries', 'Athena (Coalition)', 'Communications Workers of America', 'International Brotherhood of Teamsters', 'Service Employees International Union', 'Federal Trade Commission'];1511
FreshDirect, After Broken Eggs and Angry Customers, Stages a Comeback;The New York Times;Business;2020-02-21;Battling a troubled move and loss of shoppers’ trust, the New York online grocery service now contends with increased competition.;['FreshDirect', 'Delivery Services', 'Supermarkets and Grocery Stores', 'Customer Relations', 'Bronx (NYC)', 'Long Island City (Queens, NY)', 'Amazon.com Inc', 'JPMorgan Chase & Company'];1445
Clicking Buy on Amazon? It’s Trying to Prevent a Coronavirus Caveat;The New York Times;Business;2020-02-20;The Everything Store, which stocks more than 100 million items, is working to avoid disruptions in its supply chain.;['Amazon.com Inc', 'E-Commerce', 'International Trade and World Market', 'Coronavirus (2019-nCoV)', 'Epidemics', 'Factories and Manufacturing', 'China'];1258
Judge Halts Work on Microsoft’s JEDI Contract, a Victory for Amazon;The New York Times;Technology;2020-02-13;The judge ordered work to stop on a cloud-computing contract for the Pentagon until Amazon’s legal challenge was resolved.;['Defense Contracts', 'Cloud Computing', 'Amazon.com Inc', 'Microsoft Corp', 'Defense Department', 'United States Defense and Military Forces', 'Decisions and Verdicts', 'Campbell-Smith, Patricia E'];933
Amazon Looks to Question Trump in Pentagon Contracting Case;The New York Times;Technology;2020-02-10;The Pentagon said it “strongly opposes” the request from the internet giant, which is challenging the awarding of a defense contract to Microsoft.;['Computers and the Internet', 'Cloud Computing', 'Enterprise Computing', 'Government Contracts and Procurement', 'Defense Contracts', 'United States Defense and Military Forces', 'United States Politics and Government', 'Amazon.com Inc', 'Defense Department', 'Bezos, Jeffrey P', 'Esper, Mark T', 'Trump, Donald J'];476
Why Bernie Sanders Praised Amazon;The New York Times;Opinion;2020-02-10;My company deserves scrutiny. But we have already done many of the things politicians demand of America’s leading businesses.;['Labor and Jobs', 'Wages and Salaries', 'Amazon.com Inc'];1109
In Amazon’s Bookstore, No Second Chances for the Third Reich;The New York Times;Technology;2020-02-09;The retailer once said it would sell “the good, the bad and the ugly.” Now it has banished objectionable volumes — and agreed to erasing the swastikas from a photo book about a Nazi takeover.;['Amazon.com Inc', 'E-Commerce', 'Books and Literature', 'Computers and the Internet', 'Holocaust and the Nazi Era', 'Anti-Semitism', 'Book Trade and Publishing', 'Corporate Social Responsibility', 'Censorship', 'Freedom of Speech and Expression', 'AbeBooks Inc', 'The Man in the High Castle (TV Program)', 'Duke, David E', 'Dick, Philip K', 'Television'];1581
To Focus on Necessities, Amazon Stops Accepting Some Items in Warehouses;The New York Times;Technology;2020-03-17;The three-week pause, which affects products like consumer electronics, allows the e-commerce company to deal with a surge in demand for household goods.;['E-Commerce', 'Computers and the Internet', 'Delivery Services', 'Amazon.com Inc', 'Coronavirus (2019-nCoV)'];659
Amazon Bans, Then Reinstates, Hitler’s ‘Mein Kampf’;The New York Times;Technology;2020-03-17;The retailer is trying to do two contradictory things: Ban hate literature but allow free speech.;['Amazon.com Inc', 'Books and Literature', 'Hitler, Adolf', 'Mein Kampf (Book)', 'Holocaust and the Nazi Era', 'E-Commerce', 'Censorship', 'Book Trade and Publishing', 'Shopping and Retail', 'Computers and the Internet'];689
