headline;source;section;published;abstract;keywords;word_count
New iPhones Fuel Strong Profit for Apple;The New York Times;Technology;28/01/2020;Apple found renewed growth with an increase in phone sales as well as younger products, like the Apple Watch, AirPods and its subscription services.;['Apple Inc', 'Company Reports', 'Wearable Computing', 'iPhone', 'Apple TV', 'Apple TV Plus'];786
Pressured by Simmons Over Exposé, Oprah Winfrey Faced a Big Decision;The New York Times;Movies;17/01/2020;Ms. Winfrey acknowledged that Russell Simmons pushed her to abandon a documentary about his accusers, but said her own concerns led her to pull support.;['Documentary Films and Programs', 'On the Record (Movie)', 'Winfrey, Oprah', 'Simmons, Russell', 'Apple Inc', '#MeToo Movement', 'Rap and Hip-Hop', 'Sexual Harassment', 'Sex Crimes', 'Ziering, Amy', 'Dick, Kirby'];2513
Does the F.B.I. Need Apple to Hack Into iPhones?;The New York Times;Technology;17/01/2020;There are tools to crack into the phones at the center of a new dispute over encryption. But the F.BI. says it still needs Apple’s aid.;['Computer Security', 'Computers and the Internet', 'Naval Air Station Pensacola Shooting (2019)', 'Privacy', 'iPhone', 'Apple Inc', 'Federal Bureau of Investigation', 'Software'];1225
Delayed by Abuse Claim, Apple’s ‘The Banker’ Gets New Release Date;The New York Times;Business;16/01/2020;The film, starring Samuel L. Jackson and Anthony Mackie, was withdrawn after a producer, a son of one of its protagonists, was accused of sexual misconduct.;['The Banker (Movie)', 'Movies', 'Apple TV Plus', 'Jackson, Samuel L', 'Mackie, Anthony'];354
Apple Takes a (Cautious) Stand Against Opening a Killer’s iPhones;The New York Times;Technology;14/01/2020;The Silicon Valley giant is preparing for a legal fight over encryption, even as it works to reduce tensions with the Justice Department.;['Computer Security', 'Computers and the Internet', 'Naval Air Station Pensacola Shooting (2019)', 'Privacy', 'United States Politics and Government', 'iPhone', 'Apple Inc', 'Justice Department', 'Barr, William P', 'Cook, Timothy D', 'Alshamrani, Mohammed Saeed'];1562
F.B.I. Asks Apple to Help Unlock Two iPhones;The New York Times;Technology;07/01/2020;The request could reignite a fight between the Silicon Valley giant and law enforcement over access to encrypted technology.;['Computer Security', 'Smartphones', 'Apple Inc', 'Federal Bureau of Investigation', 'Alshamrani, Mohammed Saeed', 'Barr, William P', 'Naval Air Station Pensacola Shooting (2019)'];1028
Apple Deal Returns Former HBO Boss Richard Plepler to Spotlight;The New York Times;Business;02/01/2020;Ten months after he chafed under AT&T’s takeover of the network, he reboots himself as a producer in a five-year deal with Apple TV Plus.;['Television', 'Movies', 'Appointments and Executive Changes', 'Apple TV Plus', 'Home Box Office', 'Plepler, Richard', 'Cue, Eddy'];1387
The Week in Tech: Coronavirus Hits Apple’s Financial Forecast;The New York Times;Technology;21/02/2020;The iPhone maker, which depends on both factories and consumers in China, could be a bellwether for other big tech companies.;['Computers and the Internet', 'Privacy', 'Coronavirus (2019-nCoV)', 'Regulation and Deregulation of Industry', 'Home Automation and Smart Homes', 'Amazon.com Inc', 'Apple Inc'];890
Apple Signals Coronavirus’s Threat to Global Businesses;The New York Times;Technology;17/02/2020;Supply is a problem, the company warned, as factories slowly reopen in China, and demand is down, too, with stores there still mostly closed.;['Apple Inc', 'International Trade and World Market', 'Coronavirus (2019-nCoV)', 'Computers and the Internet', 'Factories and Manufacturing', 'Epidemics', 'Smartphones', 'China'];1122
France Fines Apple $1.2 Billion for Antitrust Issues;The New York Times;Technology;16/03/2020;The fine comes as the iPhone maker deals with the impact of the coronavirus pandemic.;['Computers and the Internet', 'Antitrust Laws and Competition Issues', 'Politics and Government', 'Coronavirus (2019-nCoV)', 'Factories and Manufacturing', 'Apple Inc', 'Ingram Micro Inc', 'Tech Data Corporation', 'France'];448
French as Apple Pie;The New York Times;Magazine;04/03/2020;This cross between a galette and a pie is hearty enough for two, but you’ll be forgiven if you eat it all yourself.;"['Pies', 'Cooking and Cookbooks', 'Apples', 'Paris (France)', ""Monty Python's Flying Circus (TV Program)"", 'Bakeries and Baked Products']";862
Apple Agrees to Pay Some iPhone Owners $25 Each;The New York Times;Technology;02/03/2020;A settlement for as much as $500 million would resolve a lawsuit accusing Apple of slowing old iPhones as it released new ones.;['iPhone', 'Apple Inc', 'Suits and Litigation (Civil)'];393
The Apple Family’s Checking In on Zoom. You’re Invited, Too.;The New York Times;Theater;25/04/2020;Richard Nelson’s new play, “What Do We Need to Talk About?” will be performed online, but live, restoring some of theater’s ephemerality.;['Theater', 'What Do We Need to Talk About?: Conversations on Zoom (Play)', 'Nelson, Richard J', 'Eustis, Oskar', 'Sanders, Jay O', 'Plunkett, Maryann', 'Actors and Actresses', 'Public Theater'];1303
Fiona Apple Is Back and Unbound: Let’s Discuss;The New York Times;Arts;17/04/2020;“Fetch the Bolt Cutters,” the singer and songwriter’s first album since 2012, is a bold, cathartic, challenging masterpiece. Our critics have a lot to say about it.;['Pop and Rock Music', 'Apple, Fiona', 'Fetch the Bolt Cutters (Album)'];2115
Trump Announces His ‘Opening the Country’ Council;The New York Times;U.S.;15/04/2020;He read off dozens of prominent names from Wall Street, Silicon Valley and the sports world. At least one person on the list was surprised to be on it.;['Unemployment Insurance', 'Bezos, Jeffrey P', 'Cook, Timothy D', 'Cuban, Mark', 'DeMint, Jim', 'Dimon, James', 'Trump, Donald J', 'Zuckerberg, Mark E'];788
The New York Times Pulls Out of Apple News;The New York Times;Technology;29/06/2020;The Times said Apple News did not align with its strategy of building direct relationships with paying readers.;['Mobile Applications', 'News and News Media', 'Computers and the Internet', 'Online Advertising', 'Newspapers', 'Apple Inc', 'New York Times', 'Kopit Levien, Meredith', 'Apple News'];775
Apple to Ditch Intel Chips in Macs as It Consolidates Its Power;The New York Times;Technology;22/06/2020;The move, announced in the live-streamed start to the company’s conference for developers, marks the end of a 15-year partnership.;['Mobile Applications', 'Computers and the Internet', 'Computer Chips', 'Privacy', 'Apple Inc', 'Basecamp LLC', 'Taiwan Semiconductor Manufacturing Company Ltd', 'Cook, Timothy D', 'Srouji, Johny', 'Intel Corporation'];989
After 15 Years, Apple Prepares to Break Up With Intel;The New York Times;Technology;19/06/2020;Apple could announce plans as soon as Monday to replace Intel processors in Macs with chips that it designed itself.;['Apple Inc', 'Intel Corporation', 'Computers and the Internet', 'Computer Chips'];1202
Apple Rejects Facebook’s Gaming App, for at Least the Fifth Time;The New York Times;Technology;18/06/2020;Apple has repeatedly denied Facebook’s new Gaming app from appearing in its App Store, citing its own rules.;['Mobile Applications', 'Computer and Video Games', 'Social Media', 'Software', 'Android (Operating System)', 'Antitrust Laws and Competition Issues', 'Apple Inc', 'Facebook Inc'];1064
Apple’s App Store Draws Antitrust Scrutiny in European Union;The New York Times;Business;16/06/2020;After complaints from rivals including Spotify, European authorities will investigate Apple’s App Store.;['Apple Inc', 'Mobile Applications', 'Antitrust Laws and Competition Issues', 'European Union', 'European Commission', 'Vestager, Margrethe', 'E-Commerce', 'Smartphones'];1268
5 on the Apple Watch at 5;International New York Times;Fashion;10/06/2020;Specialists describe the device’s impact on the watch world — and on our lives.;['Watches and Clocks', 'Wearable Computing', 'Apple Inc', 'Hodinkee', 'Wallpaper (Magazine)'];1039
Their Businesses Went Virtual. Then Apple Wanted a Cut.;The New York Times;Technology;28/07/2020;After Airbnb and ClassPass began selling virtual classes because of the pandemic, Apple tried to collect its commission on the sales.;['Mobile Applications', 'Computers and the Internet', 'E-Commerce', 'Prices (Fares, Fees and Rates)', 'Coronavirus (2019-nCoV)', 'Antitrust Laws and Competition Issues', 'Airbnb', 'ClassPass Inc', 'Apple Inc', 'Proton Technologies AG'];1256
Melania Trump Will Revamp White House Rose Garden;The New York Times;U.S.;27/07/2020;The first lady’s renovation of the garden, a signature showcase of power used by presidents for decades, is taking place as her husband enters a crucial stretch of his re-election effort.;['Trump, Melania', 'White House Building (Washington, DC)', 'Gardens and Gardening', 'United States Politics and Government', 'Presidential Election of 2020', 'Historic Buildings and Sites', 'Flowers and Plants', 'First Ladies (US)', 'Trump, Donald J'];1168
Apple Scores Legal Victory Against $14.9 Billion E.U. Tax Demand;The New York Times;Business;15/07/2020;The decision is a setback for European efforts to clamp down on what the authorities there believe is anticompetitive behavior.;['Apple Inc', 'Computers and the Internet', 'Corporate Taxes', 'Antitrust Laws and Competition Issues', 'Regulation and Deregulation of Industry', 'European Union', 'Decisions and Verdicts', 'Ireland', 'Tax Shelters', 'Vestager, Margrethe', 'European Commission'];821
How Apple’s 30% App Store Cut Became a Boon and a Headache;The New York Times;Technology;14/08/2020;App makers like the game company Epic and the music service Spotify are challenging Apple’s right to a large cut of their sales. Regulators have taken notice.;['Apple Inc', 'Google Inc', 'Epic Games', 'Fortnite (Video Game)', 'Spotify', 'Mobile Applications', 'E-Commerce', 'Mobile Commerce and Payments', 'Antitrust Laws and Competition Issues', 'Prices (Fares, Fees and Rates)', 'Suits and Litigation (Civil)', 'Regulation and Deregulation of Industry'];1434
Apple Replaces Phil Schiller as Its Top Marketing Executive;The New York Times;Technology;04/08/2020;Mr. Schiller will be replaced by Greg Joswiak, a longtime executive at the company.;['Apple Inc', 'Advertising and Marketing', 'Cook, Timothy D', 'Schiller, Philip W', 'Joswiak, Greg', 'Computers and the Internet', 'Appointments and Executive Changes'];586
Apple and Epic Games Spar Over Returning Fortnite to the App Store;The New York Times;Technology;28/09/2020;The two companies argued in federal court over Apple’s power over apps, as their fight heads to trial next year.;['Fortnite (Video Game)', 'Apple Inc', 'Epic Games', 'Mobile Applications', 'Computer and Video Games', 'Mobile Commerce and Payments', 'Antitrust Laws and Competition Issues', 'Suits and Litigation (Civil)', 'Computers and the Internet'];947
To Fight Apple and Google, Smaller App Rivals Organize a Coalition;The New York Times;Technology;24/09/2020;Spotify, Match Group, Epic Games and others have created a nonprofit alliance that they hope will amplify a protest against the power of the giants.;['Mobile Applications', 'Computers and the Internet', 'Mobile Commerce and Payments', 'Software', 'Antitrust Laws and Competition Issues', 'Computer and Video Games', 'Smartphones', 'Apple Inc', 'Basecamp LLC', 'Blockchain', 'Google Inc', 'Match Group Inc.', 'Spotify', 'Sweeney, Tim (1970- )'];919
Fall’s Here. Can We Still Go Apple Picking?;The New York Times;Travel;17/09/2020;Wandering through corn mazes, picking pumpkins and visits to wineries and haunted houses are still on the calendar, but social distancing and face masks are part of the plan.;['Labyrinths and Mazes', 'Autumn (Season)', 'Agriculture and Farming', 'Halloween', 'Apples', 'Travel and Vacations', 'Pumpkins', 'Wines'];2074
Simeon Coxe, Whose Silver Apples Presaged Synth-Pop, Dies at 82;The New York Times;Arts;12/09/2020;In the late 1960s, playing a homemade electronic instrument, he created “the mating call between a jackhammer and a Veg-O-Matic.”;['Pop and Rock Music', 'Silver Apples', 'Deaths (Obituaries)', 'Coxe, Simeon (1938-2020)', 'Musical Instruments'];1057
Jon Stewart Returns to Spotlight With a Series for Apple TV+;The New York Times;Business;27/10/2020;On his new program, the former “Daily Show” host will “explore topics that are currently part of the national conversation and his advocacy work,” Apple said.;['Television', 'Apple TV Plus', 'Stewart, Jon', 'The Daily Show with Jon Stewart (TV Program)'];433
Apple, Google and a Deal That Controls the Internet;The New York Times;Technology;25/10/2020;In a landmark antitrust complaint, the Justice Department is targeting a secretive partnership that is worth billions of dollars to both companies.;['Antitrust Laws and Competition Issues', 'Search Engines', 'Computers and the Internet', 'Mobile Applications', 'Online Advertising', 'Smartphones', 'iPhone', 'Suits and Litigation (Civil)', 'Alphabet Inc', 'Apple Inc', 'Google Inc', 'Justice Department', 'Microsoft Corp', 'Cook, Timothy D', 'Pichai, Sundar', 'Jobs, Steven P', 'Schmidt, Eric E'];1609
What You Need to Know About 5G Smartphones;The New York Times;Technology;13/10/2020;The newest iPhones are expected to run on next-generation 5G cellular networks. Let’s get real about what that means.;['5G (Wireless Communications)', 'Content Type: Service', 'Smartphones'];509
Apple Does Not Need to Return Fortnite to App Store, Judge Rules;The New York Times;Technology;09/10/2020;Fortnite’s parent company, Epic Games, had broken its contract with Apple, a federal judge found. The case goes to trial next year.;['Apple Inc', 'Epic Games', 'Fortnite (Video Game)', 'Mobile Applications', 'Computer and Video Games', 'Gonzalez Rogers, Yvonne (1965- )', 'Decisions and Verdicts', 'Antitrust Laws and Competition Issues', 'Suits and Litigation (Civil)'];801
